"Modelis","Pearson_r"
"McCartney",0.459
"McCartney",0.081
"McCartney",0.15
"McCartney",0.309
"McCartney",0.322
"McCartney",0.291
"McCartney",0.315
"EpiScore",0.486
"EpiScore",0.163
"EpiScore",0.182
"EpiScore",0.293
"EpiScore",0.361
"EpiScore",0.311
"EpiScore",0.338
"Elastic Net (10-Fold)",0.803
"Elastic Net (10-Fold)",0.692
"Elastic Net (10-Fold)",0.701
"Elastic Net (10-Fold)",0.666
"Elastic Net (10-Fold)",0.784
"Elastic Net (10-Fold)",0.726
"Elastic Net (10-Fold)",0.823
"Elastic Net (10-Fold)",0.841
"Elastic Net (10-Fold)",0.789
"Elastic Net (10-Fold)",0.638
