"Coefficient","CpG"
0.000309580059638648,"cg22471742"
-0.0107132097859898,"cg06875488"
-0.0033307199346669,"cg15500320"
9.6529167777778e-05,"cg24145109"
-0.00330241235032335,"cg21050234"
-0.00259914748852426,"cg21869590"
-0.000402528387001413,"cg23432654"
0.000394382800463742,"cg01387073"
0.0069444532543088,"cg05713782"
-0.00070661335218533,"cg05277504"
-0.00364206487817379,"cg04029055"
-0.00669579939187125,"cg13405332"
-0.00185801175826518,"cg16238795"
0.00291951507124012,"cg01456368"
0.00108585845443681,"cg07076816"
-0.000185538065746968,"cg23162201"
0.000581119392576958,"cg00217444"
0.00280809686189782,"cg14712058"
-0.000437088537896497,"cg00522231"
0.00118778082177481,"cg26341935"
0.00212661117395971,"cg25641439"
-0.00175820013203593,"cg04484334"
0.0151503546014697,"cg25508605"
-0.00685524236554068,"cg09432590"
-0.0080794624326597,"cg10228283"
-0.00715382144850655,"cg06296597"
-0.000647697906505732,"cg19468946"
0.00170606265561867,"cg18075691"
-0.0110489797861613,"cg14074741"
0.0103144080547476,"cg13053914"
0.00216885520415446,"cg10242486"
0.00365203531378702,"cg05865860"
0.00174642403296132,"cg23897356"
0.00730654759874596,"cg19519737"
-0.0019942652636472,"cg10426084"
0.000201162488058507,"cg06729222"
-0.00386832481945001,"cg06426293"
0.0050002768583899,"cg00966890"
0.000922340569089648,"cg24480012"
-0.00573058287195204,"cg05628567"
0.00478790742189982,"cg05026753"
0.00437091474897435,"cg09429345"
0.0440478544561283,"cg26033520"
-0.00116022713827931,"cg12522039"
-0.00596654647757306,"cg10471113"
0.00126063075199011,"cg25554283"
-0.000214392253453452,"cg16407953"
-0.00110912587639277,"cg07678518"
-0.00143886166559729,"cg15886728"
-0.000126295321451466,"cg02939598"
-0.000442337445789328,"cg16576213"
-0.000755953920199967,"cg00153110"
0.000349021257375549,"cg04782002"
-0.00135515390880532,"cg26687120"
-0.000138039720601112,"cg22857356"
-0.00117535545225569,"cg20154489"
-0.000379902535226092,"cg00108938"
0.000797469209929148,"cg10426464"
0.00020192710161669,"cg21266616"
-0.00038657758079954,"cg09914675"
0.000811793117538032,"cg14423703"
0.00359538878680422,"cg10104252"
0.00386693866955798,"cg05702851"
-0.000378955251083025,"cg03761210"
0.000453665549722647,"cg14796370"
0.00593279497678961,"cg15616946"
-0.00336264163723249,"cg16700779"
-0.00253368925289022,"cg22337169"
-0.000764453402733273,"cg27328431"
-0.00561145021828095,"cg18982625"
0.000505791110316619,"cg18199753"
0.000747928484088673,"cg26143452"
-0.000292878969320597,"cg14304761"
-0.000336924210351598,"cg15457314"
-0.000348454011513634,"cg03402629"
-0.00318487200390196,"cg04208237"
-0.000235492948535852,"cg12040830"
-0.0169220205649725,"cg16398761"
0.00154622189209989,"cg26253899"
0.000220521429890057,"cg02562740"
0.00112183851967866,"cg00347563"
-0.000251075781047717,"cg24118856"
0.00627499113362876,"cg01399981"
-0.0084775794414498,"cg18479798"
-0.00382219328313326,"cg20319091"
0.00174157108665655,"cg10473004"
0.010700723152719,"cg11988591"
0.000341340297785144,"cg07452164"
-0.00151124499017552,"cg20116579"
-0.000928693009876955,"cg19738283"
0.00115527183033672,"cg25439655"
-0.000624728318941572,"cg00036263"
-0.000889905129291177,"cg02298956"
-0.00240866903408948,"cg05031187"
0.0276428105734428,"cg17287155"
0.00155915352442493,"cg06535115"
-0.00484928376655395,"cg14253461"
4.06464398268767e-05,"cg05122965"
0.00153426945694994,"cg14396008"
-0.00527327692013773,"cg20603557"
0.00143103594137221,"cg03550794"
-0.0189113106919797,"cg12712184"
-0.000819195242879692,"cg20855160"
0.00128584634097428,"cg22497313"
-0.00556549380509458,"cg15380914"
-0.000704487250984778,"cg20798164"
-0.00863634138046345,"cg26045524"
0.00189406339785449,"cg26815121"
0.00993575149408081,"cg10549986"
-0.00610453123637224,"cg01444397"
0.00123191983867079,"cg15342404"
-0.00155158214778305,"cg25887619"
-0.000265584534416783,"cg07265873"
-0.00334750059577058,"cg14354168"
-0.00137332676550713,"cg10442572"
-0.000618286941627359,"cg13609723"
0.00862546422938732,"cg01979352"
-0.000623822125891828,"cg19287610"
-0.00447422233891131,"cg05154507"
0.00483747618840468,"cg08126203"
-0.000143951750772936,"cg06239923"
-0.00136563953649891,"cg22663545"
0.00453982402219499,"cg20555785"
-0.00381877902399011,"cg02676175"
-0.00312779545624108,"cg20541238"
0.000986492224168038,"cg07012770"
-0.00277920367595263,"cg24772753"
0.00203738145544011,"cg07176884"
-0.000526483298916015,"cg00850756"
1.71669368009674e-05,"cg11647481"
-0.00820361794744789,"cg22091609"
-1.84529008966376e-05,"cg20119532"
-0.000351945851640628,"cg05655534"
0.000530824283697207,"cg17055934"
-0.00368098279066208,"cg21840211"
0.00109144504529066,"cg21351392"
0.00555136520863446,"cg15855384"
-0.00182780481577843,"cg25541708"
0.000513283682332527,"cg14053257"
0.00137139669236885,"cg10644544"
0.00364556904090631,"cg08633479"
-0.00141536804101326,"cg24024505"
0.00474030372394917,"cg26306372"
0.0280780383121212,"cg23079012"
0.00229209724241226,"cg27031448"
0.000837453064678401,"cg14511070"
-0.000403824432854111,"cg23884626"
-0.00206779651401869,"cg17978425"
-0.000265749825649976,"cg27471464"
-0.00198419268824694,"cg21901643"
0.00255908420711775,"cg02920148"
0.00254547560085394,"cg07180475"
0.00303069282687149,"cg13538257"
-0.00203377188089342,"cg02520559"
-0.000578371003753228,"cg05018361"
-0.00966281491660149,"cg09159050"
-4.58198922040983e-05,"cg25409499"
-0.00121125255671176,"cg07419704"
0.00261968193265602,"cg12909732"
-0.00113668436366328,"cg05176964"
-0.00154774678768378,"cg23357832"
-0.00467252175349367,"cg09548275"
-0.00132701373918465,"cg04148584"
0.000596557485141831,"cg08290072"
-0.00165680383869631,"cg14811319"
-8.77421041927688e-05,"cg12252866"
-0.00376946649511894,"cg00542041"
-0.00660624362474618,"cg08903714"
-0.014237518119738,"cg07222124"
0.00233133920117142,"cg12658897"
0.00221279542064209,"cg15753394"
-0.00108085256107381,"cg07425568"
-0.00116846931086729,"cg17141577"
-0.00862796704002688,"cg26918756"
-0.0012169313206544,"cg03710140"
0.00330069017082737,"cg09627874"
-0.000104033910259861,"cg03327570"
-0.00113305419094365,"cg00095859"
0.00980717829200088,"cg26971585"
0.00272947030408318,"cg05441541"
0.0050293543763438,"cg13186466"
-0.00679097776702594,"cg16860821"
0.000127599438753035,"cg01576340"
0.00134214311378263,"cg09518720"
-0.00215591681880306,"cg18004701"
-0.000571461303119508,"cg21803052"
-0.00444143388170234,"cg04399091"
0.00615594450737419,"cg00994804"
-0.0022875948129463,"cg15427448"
0.000544741839594744,"cg15543167"
-0.00460786884473558,"cg20908276"
0.00669409590346838,"cg02102644"
-0.00088141901760573,"cg00685291"
0.00312543672513215,"cg01191058"
0.00164917782452552,"cg21205071"
-0.00117986874218914,"cg09132250"
0.00224424928553558,"cg05901543"
0.00168202355556291,"cg01043019"
-0.00064465321746179,"cg16712664"
0.00707854129229567,"cg06137123"
0.00175051752817496,"cg22333960"
-0.00259291955703304,"cg17782954"
0.00401430472737534,"cg25513610"
-3.89587630807314e-07,"cg13793681"
0.00409912425427788,"cg21005756"
-0.000715037332905062,"cg25835160"
-0.000171338480647728,"cg11082362"
-0.000160953217887645,"cg23112563"
0.00222478756656073,"cg09662896"
-0.00771282944250489,"cg16626884"
-9.13006829494121e-05,"cg00117869"
-0.00256376785438619,"cg00474840"
0.00701190431889312,"cg11969813"
-0.0028738493733991,"cg01199327"
-0.000466839973952376,"cg06739182"
0.00426741430262169,"cg15371711"
-0.00217281709429854,"cg01688202"
-4.6412847585422e-05,"cg04152326"
0.00661408171153463,"cg10819350"
-0.000718422692226687,"cg24455359"
0.00587570203924646,"cg20495962"
-0.00287863097376065,"cg07573872"
-0.000845301603472398,"cg01785046"
0.00327424306621808,"cg21034903"
0.000208054789975715,"cg18653560"
-0.00635642458354041,"cg02311374"
-0.0105979310406363,"cg13520532"
0.00582317986591812,"cg02678414"
-0.00184444058126371,"cg03641492"
-0.0190480812897219,"cg02119938"
-0.00105560604090961,"cg04784471"
0.00247727037020749,"cg11547878"
0.000695234167797029,"cg01710112"
-0.00214533838187144,"cg03590420"
-9.41587008047024e-06,"cg10402987"
-0.000870469522836973,"cg04864648"
-0.0047364456837397,"cg23861668"
-0.000835328895160025,"cg22671410"
-0.00181929578618269,"cg15243570"
-0.00869646229553144,"cg19304150"
-0.000979530871678572,"cg07472943"
-0.000669485623463524,"cg27325462"
-0.00232575077329492,"cg16716993"
0.000118218614319852,"cg16282618"
-0.00361954893179892,"cg14911690"
0.00219791300600556,"cg20180370"
0.0145449417109139,"cg09848445"
0.00391403570085747,"cg19698348"
-0.000448155476658887,"cg03062002"
0.00220752215312449,"cg14246703"
0.00418206274472162,"cg09296611"
0.000493514612145824,"cg00589578"
-0.0011125858787213,"cg26119382"
-0.00290646610420651,"cg26478036"
0.000260139287393981,"cg21825027"
-0.000646797656965679,"cg26828320"
-0.00111986954267353,"cg11176990"
0.00728227270043187,"cg16865475"
0.0026314921637097,"cg14228980"
0.0043857007419294,"cg25832824"
0.00451225319868906,"cg11680792"
-0.000514093422391352,"cg16308790"
0.00265579424700366,"cg14398883"
0.00176519714170934,"cg08342886"
0.00148433204083817,"cg17315331"
0.0010632806988211,"cg07946277"
-0.000396395333635578,"cg04831728"
0.00129382125357403,"cg18586983"
-0.0021134567642727,"cg07171111"
0.00112454306756282,"cg25120290"
-0.00114593702644204,"cg24748448"
-0.0037255133852164,"cg20090108"
0.00104315643587452,"cg07817648"
0.00647659875443595,"cg07550554"
-0.00919240369762449,"cg16230626"
4.89499006735703e-06,"cg20782850"
-0.00376975834698375,"cg02998129"
-0.00106810204696287,"cg22943986"
0.00461589474019857,"cg01879870"
-0.0142843910225299,"cg09222732"
-0.0021672871075577,"cg09601159"
0.0126207067930999,"cg23744638"
-0.00401453947355174,"cg10381071"
-0.0065014778288788,"cg19211853"
-0.00263566804448279,"cg09482780"
-0.000678772026310897,"cg10069155"
0.00541361279615645,"cg27490930"
0.000579673688952646,"cg08536805"
-0.00281485377254679,"cg14507042"
-0.0029561135514617,"cg17222645"
-5.4036821160225e-05,"cg24810019"
-0.00121520642865048,"cg16892887"
-0.00268271113973832,"cg15871749"
-0.00215355580180193,"cg06595176"
0.00223933535726196,"cg14472025"
0.00368815370885516,"cg09986651"
-0.000937144819648925,"cg21894356"
-0.00345262707369095,"cg22648929"
0.000675327100521782,"cg15325732"
0.00102952112094628,"cg08078058"
-0.00320450862108569,"cg19100884"
-0.00184513384610509,"cg18326274"
0.00403664639499549,"cg10709532"
-0.00260496099988182,"cg18793404"
0.00104141159488193,"cg00232874"
0.00140374113491277,"cg09921392"
-0.00838914120365693,"cg21380181"
0.00529272500003845,"cg05011838"
-0.0162588671399808,"cg15564619"
0.00474936887847967,"cg22632523"
-0.00120482120701835,"cg08845730"
0.000304622970779318,"cg01847719"
-0.000896632173320655,"cg13416901"
-0.000144147546331796,"cg21040575"
0.00229952056777288,"cg16139770"
0.00255950376239036,"cg01909953"
-0.00417184583527702,"cg10547005"
0.000344031949660315,"cg03856401"
0.00581637151868455,"cg06175025"
-0.000423579071344511,"cg20950033"
0.00511305278942567,"cg12823748"
0.00123107665983312,"cg07353006"
0.000848452311581607,"cg04154653"
-0.00355550726604803,"cg07955995"
-0.00726146308731671,"cg26082690"
0.000321804263820243,"cg03461298"
-0.000102059054059156,"cg26175729"
-0.00100531492835123,"cg14409023"
0.00286334616052651,"cg09021712"
-0.00283169402370359,"cg00298675"
0.00400973252322051,"cg01060059"
-0.00368457415930557,"cg11419456"
-0.000369612759851137,"cg24053619"
-0.00255440808268166,"cg24513567"
-0.000559379073897919,"cg25170997"
0.00378413072655883,"cg14319473"
0.00320404303099756,"cg01749778"
0.00165390932111102,"cg14788688"
0.00338311596628204,"cg03313172"
